ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Education_Original,Age,Total_Spending,Income_Bin,Income_scaled,Recency_scaled,Age_scaled,Total_Spending_scaled,PCA1,PCA2
5524,1957,2,4,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,Graduation,69,1617,1,0.23569583676205916,0.30703926349227456,0.9853447295662141,1.6794168065208526,1.5639854087008727,0.4354500064443587
2174,1954,2,4,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,Graduation,72,27,1,-0.235454185332179,-0.38366417634974903,1.2357329535285873,-0.9612754470850355,-0.5008762341336351,0.01832538312535406
4141,1965,2,5,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,Graduation,61,776,1,0.7739989186443602,-0.7980862402549632,0.3176427989998855,0.2826732937645306,0.7879914116491148,-0.7590815583191889
6182,1984,2,5,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,Graduation,42,53,1,-1.0223554177564882,-0.7980862402549632,-1.2681492860951449,-0.9180943158939959,-1.672872326208455,-0.9661083655291691
5324,1981,4,3,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,PhD,45,422,1,0.24188782026423034,1.550305455207917,-1.0177610621327717,-0.30525441552885585,-0.27042393664411934,1.2312298373972042
7446,1967,3,5,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,Master,59,716,1,0.41046956464592316,-1.143437960175975,0.15071731635830335,0.18302452947751596,0.41942477518418875,-1.1020333131837166
965,1971,2,2,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,Graduation,55,590,1,0.13570529027215936,-0.5218048643181538,-0.18313364892486095,-0.026237875525214806,0.015992852494369245,-0.5573862489913304
6177,1985,4,3,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,PhD,41,169,1,-0.7503875230288662,-0.5908752083023561,-1.351612027415936,-0.7254400382724343,-1.3723991461280656,-0.8187311571982635
4855,1974,4,5,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,PhD,52,46,1,-0.8743470379142674,-1.0398324441996714,-0.43352187288723415,-0.9297200050608143,-1.367454736528514,-0.9953798966893731
5899,1950,4,5,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,PhD,76,49,1,-1.861189415037717,0.6523909834132863,1.5695839188117515,-0.9247375668464636,-1.482738783669539,1.2170026517720358
1994,1983,2,3,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,Graduation,43,19,1,-0.0342147215116156,-1.3161138201364808,-1.1846865447743538,-0.9745619489899708,-1.0222985188926053,-1.5119993715274904
387,1976,1,3,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,Basic,50,61,1,-1.7872051992569362,0.3415744354843757,-0.6004473555288163,-0.9048078139890606,-1.9898628191060965,0.35632540265965784
2125,1959,2,2,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,Graduation,67,1102,1,0.431242670588691,1.1358833913027029,0.818419246924632,0.8240982463906436,1.093692676777914,1.2244803898881231
8180,1952,3,2,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,Master,74,310,1,0.28427294604360853,0.13436340353176865,1.4026584361701695,-0.4912654421979498,0.23005539030117478,0.49515160145427534
2569,1987,2,3,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,Graduation,39,46,1,-1.39479323834192,-0.38366417634974903,-1.518537510057518,-0.9297200050608143,-1.9923752623764615,-0.6035790088964753
2114,1946,4,4,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,PhD,80,1315,1,1.220900334378483,-0.9016917562312667,1.9034348840949158,1.1778513596095455,2.112169287658886,-0.5362775564828465
9736,1980,2,3,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,Graduation,46,96,1,-0.4149817586144841,0.06529305954756628,-0.9342983208119806,-0.8466793681549687,-1.1007736872220677,-0.09809594767095152
4939,1946,2,5,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,Graduation,80,317,1,-0.578370226510485,-1.0052972722075701,1.9034348840949158,-0.47963975303113143,-0.25028003984358566,-0.41136639735752606
6565,1949,3,3,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,Master,77,1782,1,0.9890005651520074,1.4466999392316133,1.6530466601325426,1.9534509083101428,2.466831095261415,1.6326597806143561
